dataset,method,test_acc
cora_full,baseline,0.4175079788966326
cora_full,baseline,0.4037647365335765
cora_full,baseline,0.4012245163811633
cora_full,baseline,0.4130788770924249
cora_full,baseline,0.4152282941444669
cora_full,baseline,0.40669575978636097
cora_full,baseline,0.418875789747932
cora_full,baseline,0.3980980915781932
cora_full,baseline,0.4113853969908161
cora_full,baseline,0.4171823096463232
cora_full,baseline,0.4057838858854947
cora_full,baseline,0.400312642480297
cora_full,baseline,0.42076467139972645
cora_full,baseline,0.3971862176773269
cora_full,baseline,0.4089103106884648
cora_full,baseline,0.4099524522894548
cora_full,baseline,0.41125512929069236
cora_full,baseline,0.4143164202436006
cora_full,baseline,0.41177620009118737
cora_full,baseline,0.42069953754966455
cora_full,baseline,0.4192014589982414
cora_full,baseline,0.4152282941444669
cora_full,baseline,0.4085846414381554
cora_full,baseline,0.4007034455806683
cora_full,baseline,0.3958184068260275
cora_full,baseline,0.3944505959747281
cora_full,baseline,0.39529733602553246
cora_full,baseline,0.4023969256822771
cora_full,baseline,0.4043509411841334
cora_full,baseline,0.41881065589787014
cora_full,baseline,0.41392561714322934
cora_full,baseline,0.4029179964827721
cora_full,baseline,0.4203087344492933
cora_full,baseline,0.4096919168892073
cora_full,baseline,0.4074773659871035
cora_full,baseline,0.41705204194619944
cora_full,baseline,0.41099459389044485
cora_full,baseline,0.4075424998371654
cora_full,baseline,0.411450530840878
cora_full,baseline,0.4031133980329577
cora_full,baseline,0.4009639809809158
cora_full,baseline,0.42219761610108775
cora_full,baseline,0.4145769556438481
cora_full,baseline,0.40155018563147266
cora_full,baseline,0.4053930827851234
cora_full,baseline,0.4004429101804208
cora_full,baseline,0.40246205953233893
cora_full,baseline,0.40910571223865044
cora_full,baseline,0.41763824659675636
cora_full,baseline,0.3985540285286263
cora_full,baseline,0.40715169673679413
cora_full,baseline,0.422067348400964
cora_full,baseline,0.4165961049957663
cora_full,baseline,0.4036996026835146
cora_full,baseline,0.40669575978636097
cora_full,baseline,0.40734709828697974
cora_full,baseline,0.4118413339412493
cora_full,baseline,0.39940076857943074
cora_full,baseline,0.4163355695955188
cora_full,baseline,0.41412101869341494
cora_full,baseline,0.41386048329316744
